0UUUUUUU UUUUUUUUU U
0UUUUUUU UUUUUUUUU U
0UUUUUUU UUUUUUUUU U
0UUUUUUU UUUUUUUUU U
01001000 000011000 1
00010110 000100011 0
01010100 000111100 1
00110101 000110100 0
01000001 000011001 0
00011110 000101000 0
00001011 000000010 0
00111010 000000101 1
01000110 000010000 0
00110010 000100111 1
00101111 000001001 0
01010001 010011111 0
00111110 000101110 1
01000011 001010010 0
00110111 000010000 0
00101010 000001001 0
00010110 000001000 0
00111110 000110010 1
00111010 001110000 1
01011001 010011110 0
00100100 000110110 0
00110110 000010110 1
01000000 001110100 1
00110101 000010001 1
01000001 010000001 0
00010101 000001100 0
01010111 010001100 1
00110110 001000000 1
00101100 000000000 1
01011010 000111011 0
01001100 000101110 1
00011101 000000010 1
00100010 000100011 1
00101100 000000010 0
01001011 001010001 1
01000001 001110001 0
00011010 000100011 0
01010001 000110001 1
00000111 000000000 0
00011001 000100001 1
01001111 010011100 0
00111010 000110100 1
00110100 001100000 0
01000010 001111101 1
00111111 000001011 0
01010100 000111100 0
01001001 001101111 1
01010001 010010010 1
00111101 001110100 1
00110001 000101001 1
00101100 000001001 0
00110011 000110001 0
00110111 000011100 1
01000111 000001011 0
00100101 000000000 0
00101110 000111000 0
00011111 000101111 0
01011000 000001001 0
01011000 010101100 0
00010100 000001000 1
01010000 010011111 0
01010101 010011010 1
01001111 000111010 1
01010000 010001010 1
01010011 000101001 1
00100001 000010110 0
00111100 001001001 0
01001000 000001100 0
01011010 001011001 0
00101110 001010100 1
01000100 000000110 1
01010000 000010011 0
01011001 001000101 1
00001111 000011010 1
00101010 000101011 1
00111111 000011010 1
00101011 000111111 0
01000000 000011101 1
00010111 000101110 0
01001010 001001110 0
01010100 001000010 0
01001011 001001100 1
01000101 000100000 0
01000011 001111101 0
00111011 001011011 0
01010100 001010000 0
01001010 001101000 0
01011001 000011101 0
00001111 000001111 0
00001000 000000110 1
01010110 000000100 0
01001010 000100101 0
00111011 000111110 0
00111001 001010001 1
01001001 000110110 0
01000001 010000000 0
00110010 000111111 1
01001110 001011101 0
01011000 001001010 1
00111100 001000110 0
00101000 000100000 0
01010000 000001010 0
01010111 010100011 0
01010010 001011010 0
01000101 001010100 1
01010001 010001000 0
01000000 001111000 0
01010100 000010010 0
00111011 001100010 1
00111001 001011011 0
01000101 001101110 0
00111001 001100111 1
01011010 000000111 0
01001001 000101101 0
01000101 000001110 1
00111001 001000100 0
00110010 000011111 1
00111010 000010011 0
00011000 000011010 0
01011000 001101010 0
00111110 001011101 0
00110100 001000001 1
01000101 010000010 0
01001011 000101111 1
00110101 000100101 0
00100111 000001110 0
00111010 000110010 0
00000110 000001000 0
01000111 001110011 0
01001011 001011110 0
00111010 001010110 1
01010110 001010111 0
00101000 000010000 1
00100100 000001100 0
00110011 001010111 1
01000110 000011011 0
00110110 001001100 1
01010001 000001000 0
00101001 000011110 0
00101010 000101000 0
00101110 000111000 1
01010100 010011001 0
01010010 010010101 1
00011110 000101010 0
01001100 010001000 0
00101010 000111010 1
01010100 000010100 1
01000101 000010001 1
00011011 000101101 0
01000110 000101011 0
00010111 000000001 1
01001000 000000000 1
01010100 010011000 0
00101110 000011010 0
00010011 000010001 0
00111100 000111101 1
01011000 001001011 0
01011010 000110100 0
00010100 000001110 0
01001110 001111100 0
00110100 001100001 0
00011110 000110101 0
01000111 001000111 0
00001100 000000100 1
00101010 000011110 1
00110111 000100010 0
00011010 000001000 0
01010010 000010010 1
00111010 000111111 1
01000010 000000011 1
01000100 001010110 0
01011010 000001010 1
01001010 001010111 0
00100001 000111010 0
00111001 000011101 0
00101000 000110011 1
00111010 001100001 1
00101011 001010010 1
01001110 000111110 0
00011100 000100000 0
00111100 001011010 0
00110010 000111100 0
00111001 001001100 0
01010001 010001011 1
01001111 001001000 1
00101111 000110011 1
01000010 001001110 0
00101101 000111100 1
00110101 000010110 0
00110010 001011100 1
01001101 000101111 0
00011010 000101000 0
01010111 001001100 0
01000100 001010000 0
01010001 000100110 0
01010110 001100100 1
01000001 001111100 0
00011100 000011111 0
00111111 001101100 0
00100010 000100111 1
00100111 001001110 1
00110111 000001010 0
00110011 000001101 1
00111111 000000011 0
01010001 001011011 0
01010011 001000010 0
00101001 001001110 0
00100101 000011110 0
00101100 000011000 0
01000010 001101011 1
01001101 001111001 1
01000001 001001101 0
00100101 000100011 1
01010000 001100010 0
01011001 000010111 0
01000101 000000011 1
01010001 000010011 0
00101100 000010011 1
00011101 000000010 0
00111001 000010111 1
00110000 000010100 1
00110001 000000011 0
01010001 000101111 1
01000111 000101101 1
00110010 000001001 0
01001110 010000001 1
00110000 001010010 0
00100001 000010100 1
00100001 000100000 0
00101110 000100010 1
00101000 000011101 0
01000111 001100011 0
00010111 000011000 1
00111010 001100101 1
00100101 000110111 1
00111101 000110111 1
00010101 000010100 1
00101001 001000111 1
00101100 001000101 1
01010100 000100100 1
01000100 000000101 0
00011001 000000111 1
00111100 000010110 1
00001100 000001111 0
00110001 001010111 1
00110101 000101010 1
01011000 010101010 1
00100010 000011101 0
01010001 010001000 0
00111111 000111101 0
00010010 000000011 0
01011010 000001101 0
00001011 000001011 1
00100110 000011000 1
01000101 001010100 0
01001110 010000001 0
00011111 000101000 0
01000101 000111001 1
01000101 001001111 1
01000001 001101111 1
00101101 000010000 0
01001111 001011111 0
01010100 010001011 0
01011000 001111100 0
01000000 001111101 0
01001001 001000001 1
00110010 000011111 0
00010011 000001101 0
01011010 001001110 1
01010001 001111011 1
01000010 001010011 1
00111001 001001110 1
01001011 001010101 0
00110010 001000100 1
01010000 001001011 0
00000110 000000101 1
00101010 001000110 0
00111101 000010000 1
00100001 000010010 0
01001101 010010101 1
00111000 000011100 1
01001110 001000110 1
00100011 000101100 1
00111001 001000110 0
00110001 001001110 1
01000011 001001010 0
01001010 000000101 0
01000110 000001011 0
00111101 001011111 0
00100000 000101000 0
00001010 000000101 0
01010000 001001110 1
00100010 000100000 0
01000111 010000010 1
00110101 000011010 1
00100100 000101010 1
01011000 001111101 1
00110101 000010010 0
01011001 000001110 1
